name,domain,country
Johannes Gutenberg Universität Mainz,uni-mainz.de,de
University of Wollongong,uow.edu.au,au
Universidad Autónoma de Madrid,uam.es,es
University of Cape Town,uct.ac.za,za
University of Manitoba,umanitoba.ca,ca
Nagoya University / 名古屋大学,nagoya-u.ac.jp,jp
Xiamen University / 厦门大学,xmu.edu.cn,cn
Aristotle University of Thessaloniki,auth.gr,gr
(1) Friedrich Alexander Universität Erlangen Nürnberg FAU,fau.de,de
Southeast University / 东南大学,seu.edu.cn,cn
Sichuan University / 四川大学,scu.edu.cn,cn
Georg-August-Universität Göttingen,uni-goettingen.de,de
Universität Leipzig,uni-leipzig.de,de
Tongji University / 同济大学,tongji.edu.cn,cn
Central South University (Zhongnan University) / 中南大学,csu.edu.cn,cn
University of Texas Dallas,utdallas.edu,us
Universitat Politècnica de Catalunya BarcelonaTech,upc.edu,es
École Polytechnique Fédérale de Lausanne,epfl.ch,ch
Technion Israel Institute of Technology,technion.ac.il,il
Universität Basel,unibas.ch,ch
University of Saskatchewan,usask.ca,ca
Beihang University (Beijing University of Aeronautics and Astronautics) / 北京航空航天大学,buaa.edu.cn,cn
Umea University / Umeå Universitet,umu.se,se
Oregon Health & Science University,ohsu.edu,us
University of Vermont,uvm.edu,us
Aalborg University / Aalborg Universitet,aau.dk,dk
University of Surrey,surrey.ac.uk,uk
Université de Lyon I / Université Claude Bernard (comUE Université de Lyon),univ-lyon1.fr,fr
Lancaster University,lancaster.ac.uk,uk
Clemson University,clemson.edu,us
South China University of Technology / 华南理工大学,scut.edu.cn,cn
Universität Würzburg,uni-wuerzburg.de,de
Universidad Politécnica de Valencia,upv.es,es
University of East Anglia,uea.ac.uk,uk
University of Aberdeen,abdn.ac.uk,uk
University of Alabama,ua.edu,us
Beijing Normal University / 北京师范大学,bnu.edu.cn,cn
Nankai University / 南开大学,nankai.edu.cn,cn
Jilin University / 吉林大学,jlu.edu.cn,cn
Queen's University Belfast,qub.ac.uk,uk
Weizmann Institute of Science,weizmann.ac.il,il
Université de Strasbourg,unistra.fr,fr
University of Bath,bath.ac.uk,uk
Universidad de Chile,uchile.cl,cl
West Virginia University,wvu.edu,us
Universidade Estadual Paulista Júlio de Mesquita Filho,unesp.br,br
University of Guelph,uoguelph.ca,ca
Université Grenoble Alpes (Communauté Université Grenoble Alpes),univ-grenoble-alpes.fr,fr
Kyushu University / 九州大学,kyushu-u.ac.jp,jp
Université de Lausanne,unil.ch,ch
Universidad Politécnica de Madrid,upm.es,es
Universidad de Sevilla,us.es,es
University of Ljubljana / Univerza v Ljubljani,uni-lj.si,si
Hokkaido University / 北海道大学,hokudai.ac.jp,jp
Universität Duisburg Essen,uni-due.de,de
San Diego State University,sdsu.edu,us
Rensselaer Polytechnic Institute,rpi.edu,us
University of Otago,otago.ac.nz,nz
(1) Yonsei University / 연세대학교,yonsei.ac.kr,kr
University of North Texas,unt.edu,us
Université Catholique de Louvain,uclouvain.be,be
Carleton University,carleton.ca,ca
University of Newcastle,newcastle.edu.au,au
Boston College,bc.edu,us
Utah State University,usu.edu,us
Università degli Studi di Genova,unige.it,it
University of New Hampshire,unh.edu,us
Keio University / 慶応義塾大学,keio.ac.jp,jp
University of Texas Southwestern Medical Center at Dallas,utsouthwestern.edu,us
University of Reading,reading.ac.uk,uk
Friedrich Schiller Universität Jena,uni-jena.de,de
Auburn University,auburn.edu,us
Texas Tech University,ttu.edu,us
Universität Stuttgart,uni-stuttgart.de,de
Oklahoma State University Stillwater,go.okstate.edu,us
Universidade de Coimbra,uc.pt,pt
